"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES"
"USC00215902","NEW YORK MILLS, MN US","46.52017","-95.33735","431.3","2025-01-01","0.00","T,,7,0730","0.0","T,,7,0730","1.0",",,7,0730","22",",,7","7",",,7","8",",,7,0730"
"USC00215902","NEW YORK MILLS, MN US","46.52017","-95.33735","431.3","2025-01-02","0.00","T,,7,0730","0.0","T,,7,0730","1.0",",,7,0730","13",",,7","-4",",,7","-4",",,7,0730"
"USC00215902","NEW YORK MILLS, MN US","46.52017","-95.33735","431.3","2025-01-03","0.00",",,7,0730","0.0",",,7,0730","1.0",",,7,0730","11",",,7","-4",",,7","-2",",,7,0730"
"USC00215902","NEW YORK MILLS, MN US","46.52017","-95.33735","431.3","2025-01-04","0.00",",,7,0730","0.0",",,7,0730","1.0",",,7,0730","3",",,7","-10",",,7","-9",",,7,0730"
"USC00215902","NEW YORK MILLS, MN US","46.52017","-95.33735","431.3","2025-01-05","0.00",",,7,0730","0.0",",,7,0730","1.0",",,7,0730","5",",,7","-12",",,7","-10",",,7,0730"
"USC00215902","NEW YORK MILLS, MN US","46.52017","-95.33735","431.3","2025-01-06","0.00",",,7,0730","0.0",",,7,0730","1.0",",,7,0730","14",",,7","-10",",,7","-7",",,7,0730"
"USC00215902","NEW YORK MILLS, MN US","46.52017","-95.33735","431.3","2025-01-07","0.00",",,7,0730","0.0",",,7,0730","1.0",",,7,0730","17",",,7","-7",",,7","4",",,7,0730"
"USC00215902","NEW YORK MILLS, MN US","46.52017","-95.33735","431.3","2025-01-08","0.00",",,7,0730","0.0",",,7,0730","1.0",",,7,0730","15",",,7","4",",,7","9",",,7,0730"
"USC00215902","NEW YORK MILLS, MN US","46.52017","-95.33735","431.3","2025-01-09","0.00",",,7,0730","0.0",",,7,0730","1.0",",,7,0730","14",",,7","-3",",,7","11",",,7,0730"
"USC00215902","NEW YORK MILLS, MN US","46.52017","-95.33735","431.3","2025-01-10","0.06",",,7,0730","0.8",",,7,0730","1.0",",,7,0730","27",",,7","11",",,7","16",",,7,0730"
"USC00215902","NEW YORK MILLS, MN US","46.52017","-95.33735","431.3","2025-01-11","0.00","T,,7,0730","0.0","T,,7,0730","1.0",",,7,0730","17",",,7","7",",,7","10",",,7,0730"
"USC00215902","NEW YORK MILLS, MN US","46.52017","-95.33735","431.3","2025-01-12","0.20",",,7,0730","2.7",",,7,0730","4.0",",,7,0730","18",",,7","7",",,7","7",",,7,0730"
"USC00215902","NEW YORK MILLS, MN US","46.52017","-95.33735","431.3","2025-01-13","0.00","T,,7,0730","0.0","T,,7,0730","4.0",",,7,0730","7",",,7","-11",",,7","-9",",,7,0730"
"USC00215902","NEW YORK MILLS, MN US","46.52017","-95.33735","431.3","2025-01-14","0.00","T,,7,0730","0.0","T,,7,0730","4.0",",,7,0730","-1",",,7","-15",",,7","-15",",,7,0730"
"USC00215902","NEW YORK MILLS, MN US","46.52017","-95.33735","431.3","2025-01-15","0.00",",,7,0730","0.0",",,7,0730","4.0",",,7,0730","4",",,7","-15",",,7","0",",,7,0730"
"USC00215902","NEW YORK MILLS, MN US","46.52017","-95.33735","431.3","2025-01-16","0.01",",,7,0730","0.2",",,7,0730","4.0",",,7,0730","30",",,7","0",",,7","26",",,7,0730"
"USC00215902","NEW YORK MILLS, MN US","46.52017","-95.33735","431.3","2025-01-17","0.00",",,7,0730","0.0",",,7,0730","4.0",",,7,0730","31",",,7","22",",,7","31",",,7,0730"
"USC00215902","NEW YORK MILLS, MN US","46.52017","-95.33735","431.3","2025-01-18","0.00","T,,7,0730","0.0","T,,7,0730","4.0",",,7,0730","32",",,7","-6",",,7","-6",",,7,0730"
"USC00215902","NEW YORK MILLS, MN US","46.52017","-95.33735","431.3","2025-01-19","0.00",",,7,0730","0.0",",,7,0730","4.0",",,7,0730","-1",",,7","-21",",,7","-16",",,7,0730"
"USC00215902","NEW YORK MILLS, MN US","46.52017","-95.33735","431.3","2025-01-20","0.00","T,,7,0730","0.0","T,,7,0730","4.0",",,7,0730","-11",",,7","-22",",,7","-20",",,7,0730"
"USC00215902","NEW YORK MILLS, MN US","46.52017","-95.33735","431.3","2025-01-21","0.00",",,7,0730","0.0",",,7,0730","4.0",",,7,0730","-18",",,7","-25",",,7","-23",",,7,0730"
"USC00215902","NEW YORK MILLS, MN US","46.52017","-95.33735","431.3","2025-01-22","0.00","T,,7,0730","0.1",",,7,0730","4.0",",,7,0730","20",",,7","-23",",,7","20",",,7,0730"
"USC00215902","NEW YORK MILLS, MN US","46.52017","-95.33735","431.3","2025-01-23","0.00",",,7,0730","0.0",",,7,0730","4.0",",,7,0730","21",",,7","-11",",,7","-11",",,7,0730"
"USC00215902","NEW YORK MILLS, MN US","46.52017","-95.33735","431.3","2025-01-24","0.00",",,7,0730","0.0",",,7,0730","4.0",",,7,0730","21",",,7","-12",",,7","7",",,7,0730"
"USC00215902","NEW YORK MILLS, MN US","46.52017","-95.33735","431.3","2025-01-25","0.01",",,7,0730","0.2",",,7,0730","4.0",",,7,0730","27",",,7","7",",,7","15",",,7,0730"
"USC00215902","NEW YORK MILLS, MN US","46.52017","-95.33735","431.3","2025-01-26","0.00","T,,7,0730","0.0","T,,7,0730","4.0",",,7,0730","16",",,7","1",",,7","12",",,7,0730"
"USC00215902","NEW YORK MILLS, MN US","46.52017","-95.33735","431.3","2025-01-27","0.00",",,7,0730","0.0",",,7,0730","4.0",",,7,0730","26",",,7","12",",,7","17",",,7,0730"
"USC00215902","NEW YORK MILLS, MN US","46.52017","-95.33735","431.3","2025-01-28","0.00",",,7,0730","0.0",",,7,0730","3.0",",,7,0730","33",",,7","17",",,7","25",",,7,0730"
"USC00215902","NEW YORK MILLS, MN US","46.52017","-95.33735","431.3","2025-01-29","0.00",",,7,0730","0.0",",,7,0730","2.0",",,7,0730","38",",,7","24",",,7","24",",,7,0730"
"USC00215902","NEW YORK MILLS, MN US","46.52017","-95.33735","431.3","2025-01-30","0.00",",,7,0730","0.0",",,7,0730","2.0",",,7,0730","31",",,7","15",",,7","15",",,7,0730"
"USC00215902","NEW YORK MILLS, MN US","46.52017","-95.33735","431.3","2025-01-31","0.00",",,7,0730","0.0",",,7,0730","2.0",",,7,0730","45",",,7","15",",,7","22",",,7,0730"
"USC00215902","NEW YORK MILLS, MN US","46.52017","-95.33735","431.3","2025-02-01","0.00",",,7,0730","0.0",",,7,0730","2.0",",,7,0730","28",",,7","15",",,7","17",",,7,0730"
"USC00215902","NEW YORK MILLS, MN US","46.52017","-95.33735","431.3","2025-02-02","0.33",",,7,0730","4.0",",,7,0730","6.0",",,7,0730","28",",,7","17",",,7","19",",,7,0730"
"USC00215902","NEW YORK MILLS, MN US","46.52017","-95.33735","431.3","2025-02-03","0.07",",,7,0730","2.0",",,7,0730","7.0",",,7,0730","25",",,7","8",",,7","9",",,7,0730"
"USC00215902","NEW YORK MILLS, MN US","46.52017","-95.33735","431.3","2025-02-04","0.00","T,,7,0730","0.0","T,,7,0730","7.0",",,7,0730","10",",,7","-10",",,7","-1",",,7,0730"
"USC00215902","NEW YORK MILLS, MN US","46.52017","-95.33735","431.3","2025-02-05","0.00",",,7,0730","0.0",",,7,0730","7.0",",,7,0730","10",",,7","-10",",,7","1",",,7,0730"
"USC00215902","NEW YORK MILLS, MN US","46.52017","-95.33735","431.3","2025-02-06","0.11",",,7,0730","4.0",",,7,0730","10.0",",,7,0730","14",",,7","1",",,7","1",",,7,0730"
"USC00215902","NEW YORK MILLS, MN US","46.52017","-95.33735","431.3","2025-02-07","0.00","T,,7,0730","0.0","T,,7,0730","10.0",",,7,0730","6",",,7","-1",",,7","0",",,7,0730"
"USC00215902","NEW YORK MILLS, MN US","46.52017","-95.33735","431.3","2025-02-08","0.22",",,7,0730","3.5",",,7,0730","13.0",",,7,0730","12",",,7","-2",",,7","12",",,7,0730"
"USC00215902","NEW YORK MILLS, MN US","46.52017","-95.33735","431.3","2025-02-09","0.00",",,7,0730","0.0",",,7,0730","13.0",",,7,0730","14",",,7","-11",",,7","-6",",,7,0730"
"USC00215902","NEW YORK MILLS, MN US","46.52017","-95.33735","431.3","2025-02-10","0.00",",,7,0730","0.0",",,7,0730","13.0",",,7,0730","12",",,7","-7",",,7","-7",",,7,0730"
"USC00215902","NEW YORK MILLS, MN US","46.52017","-95.33735","431.3","2025-02-11","0.00",",,7,0730","0.0",",,7,0730","12.0",",,7,0730","4",",,7","-20",",,7","-20",",,7,0730"
"USC00215902","NEW YORK MILLS, MN US","46.52017","-95.33735","431.3","2025-02-12","0.00",",,7,0730","0.0",",,7,0730","12.0",",,7,0730","-3",",,7","-24",",,7","-24",",,7,0730"
"USC00215902","NEW YORK MILLS, MN US","46.52017","-95.33735","431.3","2025-02-13","0.00",",,7,0730","0.0",",,7,0730","11.0",",,7,0730","4",",,7","-24",",,7","-20",",,7,0730"
"USC00215902","NEW YORK MILLS, MN US","46.52017","-95.33735","431.3","2025-02-14","0.00",",,7,0730","0.0",",,7,0730","11.0",",,7,0730","3",",,7","-20",",,7","-5",",,7,0730"
"USC00215902","NEW YORK MILLS, MN US","46.52017","-95.33735","431.3","2025-02-15","0.10",",,7,0730","1.5",",,7,0730","12.0",",,7,0730","12",",,7","-5",",,7","1",",,7,0730"
"USC00215902","NEW YORK MILLS, MN US","46.52017","-95.33735","431.3","2025-02-16","0.00",",,7,0730","0.0",",,7,0730","12.0",",,7,0730","12",",,7","-11",",,7","-11",",,7,0730"
"USC00215902","NEW YORK MILLS, MN US","46.52017","-95.33735","431.3","2025-02-17","0.00","T,,7,0730","0.0","T,,7,0730","12.0",",,7,0730","3",",,7","-22",",,7","-19",",,7,0730"
"USC00215902","NEW YORK MILLS, MN US","46.52017","-95.33735","431.3","2025-02-18","0.00",",,7,0730","0.0",",,7,0730","12.0",",,7,0730","-7",",,7","-24",",,7","-24",",,7,0730"
"USC00215902","NEW YORK MILLS, MN US","46.52017","-95.33735","431.3","2025-02-19","0.00",",,7,0730","0.0",",,7,0730","12.0",",,7,0730","0",",,7","-24",",,7","-18",",,7,0730"
"USC00215902","NEW YORK MILLS, MN US","46.52017","-95.33735","431.3","2025-02-20","0.00",",,7,0730","0.0",",,7,0730","12.0",",,7,0730","16",",,7","-18",",,7","-3",",,7,0730"
"USC00215902","NEW YORK MILLS, MN US","46.52017","-95.33735","431.3","2025-02-21","0.00",",,7,0730","0.0",",,7,0730","12.0",",,7,0730","16",",,7","-3",",,7","1",",,7,0730"
"USC00215902","NEW YORK MILLS, MN US","46.52017","-95.33735","431.3","2025-02-22","0.00",",,7,0730","0.0",",,7,0730","12.0",",,7,0730","19",",,7","0",",,7","12",",,7,0730"
"USC00215902","NEW YORK MILLS, MN US","46.52017","-95.33735","431.3","2025-02-23","0.00",",,7,0730","0.0",",,7,0730","10.0",",,7,0730","36",",,7","12",",,7","22",",,7,0730"
"USC00215902","NEW YORK MILLS, MN US","46.52017","-95.33735","431.3","2025-02-24","0.00","T,,7,0730","0.0",",,7,0730","7.0",",,7,0730","44",",,7","21",",,7","31",",,7,0730"
"USC00215902","NEW YORK MILLS, MN US","46.52017","-95.33735","431.3","2025-02-25","0.00",",,7,0730","0.0",",,7,0730","5.0",",,7,0730","43",",,7","25",",,7","25",",,7,0730"
"USC00215902","NEW YORK MILLS, MN US","46.52017","-95.33735","431.3","2025-02-26","0.00","T,,7,0730","0.0",",,7,0730","4.0",",,7,0730","43",",,7","25",",,7","31",",,7,0730"
"USC00215902","NEW YORK MILLS, MN US","46.52017","-95.33735","431.3","2025-02-27","0.00",",,7,0730","0.0",",,7,0730","2.0",",,7,0730","43",",,7","30",",,7","33",",,7,0730"
"USC00215902","NEW YORK MILLS, MN US","46.52017","-95.33735","431.3","2025-02-28","0.00",",,7,0730","0.0",",,7,0730","2.0",",,7,0730","43",",,7","32",",,7","36",",,7,0730"
"USC00215902","NEW YORK MILLS, MN US","46.52017","-95.33735","431.3","2025-03-01","0.00",",,7,0730","0.0",",,7,0730","2.0",",,7,0730","36",",,7","4",",,7","4",",,7,0730"
"USC00215902","NEW YORK MILLS, MN US","46.52017","-95.33735","431.3","2025-03-02","0.00",",,7,0730","0.0",",,7,0730","2.0",",,7,0730","24",",,7","2",",,7","24",",,7,0730"
"USC00215902","NEW YORK MILLS, MN US","46.52017","-95.33735","431.3","2025-03-03","0.00",",,7,0730","0.0",",,7,0730","1.0",",,7,0730","41",",,7","24",",,7","24",",,7,0730"
"USC00215902","NEW YORK MILLS, MN US","46.52017","-95.33735","431.3","2025-03-04","0.00",",,7,0730","0.0",",,7,0730","0.0",",,7,0730","49",",,7","24",",,7","31",",,7,0730"
"USC00215902","NEW YORK MILLS, MN US","46.52017","-95.33735","431.3","2025-03-05","0.00","T,,7,0730","0.0","T,,7,0730","0.0","T,,7,0730","33",",,7","20",",,7","20",",,7,0730"
"USC00215902","NEW YORK MILLS, MN US","46.52017","-95.33735","431.3","2025-03-06","0.00","T,,7,0730","0.0","T,,7,0730","0.0",",,7,0730","30",",,7","17",",,7","19",",,7,0730"
"USC00215902","NEW YORK MILLS, MN US","46.52017","-95.33735","431.3","2025-03-07","0.00",",,7,0730","0.0",",,7,0730","0.0",",,7,0730","34",",,7","17",",,7","21",",,7,0730"
"USC00215902","NEW YORK MILLS, MN US","46.52017","-95.33735","431.3","2025-03-08","0.00",",,7,0730","0.0",",,7,0730","0.0",",,7,0730","35",",,7","20",",,7","29",",,7,0730"
"USC00215902","NEW YORK MILLS, MN US","46.52017","-95.33735","431.3","2025-03-09","0.00",",,7,0730","0.0",",,7,0730","0.0",",,7,0730","47",",,7","28",",,7","36",",,7,0730"
"USC00215902","NEW YORK MILLS, MN US","46.52017","-95.33735","431.3","2025-03-10","0.00",",,7,0730","0.0",",,7,0730","0.0",",,7,0730","53",",,7","32",",,7","32",",,7,0730"
"USC00215902","NEW YORK MILLS, MN US","46.52017","-95.33735","431.3","2025-03-11","0.00",",,7,0730","0.0",",,7,0730","0.0",",,7,0730","60",",,7","12",",,7","12",",,7,0730"
"USC00215902","NEW YORK MILLS, MN US","46.52017","-95.33735","431.3","2025-03-12","0.00",",,7,0730","0.0",",,7,0730","0.0",",,7,0730","36",",,7","11",",,7","26",",,7,0730"
"USC00215902","NEW YORK MILLS, MN US","46.52017","-95.33735","431.3","2025-03-13","0.00",",,7,0730","0.0",",,7,0730","0.0",",,7,0730","49",",,7","25",",,7","32",",,7,0730"
"USC00215902","NEW YORK MILLS, MN US","46.52017","-95.33735","431.3","2025-03-14","0.00",",,7,0730","0.0",",,7,0730","0.0",",,7,0730","57",",,7","31",",,7","43",",,7,0730"
"USC00215902","NEW YORK MILLS, MN US","46.52017","-95.33735","431.3","2025-03-15","0.70",",,7,0730","1.0",",,7,0730","1.0",",,7,0730","64",",,7","20",",,7","20",",,7,0730"
"USC00215902","NEW YORK MILLS, MN US","46.52017","-95.33735","431.3","2025-03-16","0.18",",,7,0730","3.0",",,7,0730","4.0",",,7,0730","23",",,7","5",",,7","11",",,7,0730"
"USC00215902","NEW YORK MILLS, MN US","46.52017","-95.33735","431.3","2025-03-17","0.00","T,,7,0730","0.0","T,,7,0730","4.0",",,7,0730","27",",,7","11",",,7","25",",,7,0730"
"USC00215902","NEW YORK MILLS, MN US","46.52017","-95.33735","431.3","2025-03-18","0.00",",,7,0730","0.0",",,7,0730","2.0",",,7,0730","45",",,7","25",",,7","28",",,7,0730"
"USC00215902","NEW YORK MILLS, MN US","46.52017","-95.33735","431.3","2025-03-19","0.00",",,7,0730","0.0",",,7,0730","2.0",",,7,0730","38",",,7","25",",,7","25",",,7,0730"
"USC00215902","NEW YORK MILLS, MN US","46.52017","-95.33735","431.3","2025-03-20","0.00",",,7,0730","0.0",",,7,0730","2.0",",,7,0730","35",",,7","18",",,7","18",",,7,0730"
"USC00215902","NEW YORK MILLS, MN US","46.52017","-95.33735","431.3","2025-03-21","0.00",",,7,0730","0.0",",,7,0730","1.0",",,7,0730","48",",,7","18",",,7","30",",,7,0730"
"USC00215902","NEW YORK MILLS, MN US","46.52017","-95.33735","431.3","2025-03-22","0.00",",,7,0730","0.0",",,7,0730","1.0",",,7,0730","36",",,7","10",",,7","11",",,7,0730"
"USC00215902","NEW YORK MILLS, MN US","46.52017","-95.33735","431.3","2025-03-23","0.18",",,7,0730","0.0","T,,7,0730","0.0","T,,7,0730","37",",,7","11",",,7","30",",,7,0730"
"USC00215902","NEW YORK MILLS, MN US","46.52017","-95.33735","431.3","2025-03-24","0.00",",,7,0730","0.0",",,7,0730","0.0",",,7,0730","30",",,7","15",",,7","16",",,7,0730"
"USC00215902","NEW YORK MILLS, MN US","46.52017","-95.33735","431.3","2025-03-25","0.00",",,7,0730","0.0",",,7,0730","0.0",",,7,0730","41",",,7","16",",,7","24",",,7,0730"
"USC00215902","NEW YORK MILLS, MN US","46.52017","-95.33735","431.3","2025-03-26","0.00",",,7,0730","0.0",",,7,0730","0.0",",,7,0730","49",",,7","23",",,7","28",",,7,0730"
"USC00215902","NEW YORK MILLS, MN US","46.52017","-95.33735","431.3","2025-03-27","0.00",",,7,0730","0.0",",,7,0730","0.0",",,7,0730","45",",,7","24",",,7","25",",,7,0730"
"USC00215902","NEW YORK MILLS, MN US","46.52017","-95.33735","431.3","2025-03-28","0.00",",,7,0730","0.0",",,7,0730","0.0",",,7,0730","54",",,7","25",",,7","32",",,7,0730"
"USC00215902","NEW YORK MILLS, MN US","46.52017","-95.33735","431.3","2025-03-29","0.00",",,7,0730","0.0",",,7,0730","0.0",",,7,0730","40",",,7","30",",,7","30",",,7,0730"
"USC00215902","NEW YORK MILLS, MN US","46.52017","-95.33735","431.3","2025-03-30","0.60",",,7,0730","0.5",",,7,0730","0.0","T,,7,0730","33",",,7","29",",,7","29",",,7,0730"
"USC00215902","NEW YORK MILLS, MN US","46.52017","-95.33735","431.3","2025-03-31","0.00",",,7,0730","0.0",",,7,0730","0.0",",,7,0730","45",",,7","25",",,7","25",",,7,0730"
"USC00215902","NEW YORK MILLS, MN US","46.52017","-95.33735","431.3","2025-04-01","0.00",",,7,0730","0.0",",,7,0730","0.0",",,7,0730","42",",,7","24",",,7","28",",,7,0730"
"USC00215902","NEW YORK MILLS, MN US","46.52017","-95.33735","431.3","2025-04-02","0.23",",,7,0730","2.7",",,7,0730","2.0",",,7,0730","33",",,7","28",",,7","28",",,7,0730"
"USC00215902","NEW YORK MILLS, MN US","46.52017","-95.33735","431.3","2025-04-03","0.64",",,7,0730","8.3",",,7,0730","11.0",",,7,0730","31",",,7","28",",,7","30",",,7,0730"
"USC00215902","NEW YORK MILLS, MN US","46.52017","-95.33735","431.3","2025-04-04","0.00",",,7,0730","0.0",",,7,0730","6.0",",,7,0730","40",",,7","21",",,7","21",",,7,0730"
"USC00215902","NEW YORK MILLS, MN US","46.52017","-95.33735","431.3","2025-04-05","0.00","T,,7,0730","0.0",",,7,0730","5.0",",,7,0730","39",",,7","17",",,7","18",",,7,0730"
"USC00215902","NEW YORK MILLS, MN US","46.52017","-95.33735","431.3","2025-04-06","0.00",",,7,0730","0.0",",,7,0730","4.0",",,7,0730","36",",,7","18",",,7","29",",,7,0730"
"USC00215902","NEW YORK MILLS, MN US","46.52017","-95.33735","431.3","2025-04-07","0.00",",,7,0730","0.0",",,7,0730","2.0",",,7,0730","50",",,7","17",",,7","18",",,7,0730"
"USC00215902","NEW YORK MILLS, MN US","46.52017","-95.33735","431.3","2025-04-08","0.00",",,7,0730","0.0",",,7,0730","1.0",",,7,0730","35",",,7","17",",,7","18",",,7,0730"
"USC00215902","NEW YORK MILLS, MN US","46.52017","-95.33735","431.3","2025-04-09","0.00",",,7,0730","0.0",",,7,0730","0.0",",,7,0730","43",",,7","18",",,7","34",",,7,0730"
"USC00215902","NEW YORK MILLS, MN US","46.52017","-95.33735","431.3","2025-04-10","0.03",",,7,0730","0.0",",,7,0730","0.0",",,7,0730","62",",,7","34",",,7","34",",,7,0730"
"USC00215902","NEW YORK MILLS, MN US","46.52017","-95.33735","431.3","2025-04-11","0.00","T,,7,0730","0.0",",,7,0730","0.0",",,7,0730","51",",,7","29",",,7","30",",,7,0730"
"USC00215902","NEW YORK MILLS, MN US","46.52017","-95.33735","431.3","2025-04-12","0.00",",,7,0730","0.0",",,7,0730","0.0",",,7,0730","57",",,7","30",",,7","48",",,7,0730"
"USC00215902","NEW YORK MILLS, MN US","46.52017","-95.33735","431.3","2025-04-13","0.00",",,7,0730","0.0",",,7,0730","0.0",",,7,0730","65",",,7","43",",,7","52",",,7,0730"
"USC00215902","NEW YORK MILLS, MN US","46.52017","-95.33735","431.3","2025-04-14","0.03",",,7,0730","0.0",",,7,0730","0.0",",,7,0730","64",",,7","33",",,7","33",",,7,0730"
"USC00215902","NEW YORK MILLS, MN US","46.52017","-95.33735","431.3","2025-04-15","0.00","T,,7,0730","0.0","T,,7,0730","0.0",",,7,0730","43",",,7","29",",,7","29",",,7,0730"
"USC00215902","NEW YORK MILLS, MN US","46.52017","-95.33735","431.3","2025-04-16","0.00",",,7,0730","0.0",",,7,0730","0.0",",,7,0730","49",",,7","29",",,7","31",",,7,0730"
